ID,duration,wav,spk_id,wrd
MC04_1_0005_wav_arrayMic,2.7,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0005.wav,MC04,JACKET
MC04_1_0006_wav_arrayMic,1.95,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0006.wav,MC04,SWARM
MC04_1_0007_wav_arrayMic,1.95,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0007.wav,MC04,TRADE
MC04_1_0008_wav_arrayMic,2.1,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0008.wav,MC04,TRAIN
MC04_1_0010_wav_arrayMic,2.1,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0010.wav,MC04,STUBBLE
MC04_1_0011_wav_arrayMic,2.4,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0011.wav,MC04,YES
MC04_1_0012_wav_arrayMic,4.2,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0012.wav,MC04,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
MC04_1_0013_wav_arrayMic,2.4,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0013.wav,MC04,BORN
MC04_1_0014_wav_arrayMic,2.25,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0014.wav,MC04,BEAT
MC04_1_0015_wav_arrayMic,2.4,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0015.wav,MC04,RAKE
MC04_1_0016_wav_arrayMic,4.65,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0016.wav,MC04,BUT HE ALWAYS ANSWERS BANANA OIL
MC04_1_0017_wav_arrayMic,1.8,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0017.wav,MC04,HAIR
MC04_1_0018_wav_arrayMic,2.1,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0018.wav,MC04,JAGGED
MC04_1_0019_wav_arrayMic,1.8,/home/zzho680/Speech_Data/TORGO/Control/MC04/Session1/wav_arrayMic/0019.wav,MC04,PARK
