ID,duration,wav,spk_id,wrd
FC01_1_0005_wav_arrayMic,2.25,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0005.wav,FC01,DUG
FC01_1_0006_wav_arrayMic,2.7,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0006.wav,FC01,DARK
FC01_1_0007_wav_arrayMic,2.55,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0007.wav,FC01,PAT
FC01_1_0008_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0008.wav,FC01,SPARK
FC01_1_0009_wav_arrayMic,3.0,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0009.wav,FC01,SIP
FC01_1_0010_wav_arrayMic,3.0,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0010.wav,FC01,FARM
FC01_1_0011_wav_arrayMic,4.95,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0011.wav,FC01,RAVE
FC01_1_0012_wav_arrayMic,3.15,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0012.wav,FC01,NO
FC01_1_0013_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0013.wav,FC01,FAIR
FC01_1_0014_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0014.wav,FC01,RATE
FC01_1_0015_wav_arrayMic,6.0,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0015.wav,FC01,WHEN HE SPEAKS HIS VOICE IS JUST A BIT CRACKED AND QUIVERS A TRIFLE
FC01_1_0016_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0016.wav,FC01,THE
FC01_1_0017_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0017.wav,FC01,GROW
FC01_1_0018_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0018.wav,FC01,CORN
FC01_1_0019_wav_arrayMic,3.9,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0019.wav,FC01,STORM
FC01_1_0020_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0020.wav,FC01,BUBBLE
FC01_1_0021_wav_arrayMic,3.15,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0021.wav,FC01,WARM
FC01_1_0022_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0022.wav,FC01,YES
FC01_1_0024_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0024.wav,FC01,SWARM
FC01_1_0026_wav_arrayMic,6.15,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0026.wav,FC01,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG
FC01_1_0028_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0028.wav,FC01,FORM
FC01_1_0029_wav_arrayMic,3.6,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0029.wav,FC01,BIT
FC01_1_0030_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0030.wav,FC01,FEET
FC01_1_0031_wav_arrayMic,3.6,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0031.wav,FC01,CHAIR
FC01_1_0032_wav_arrayMic,3.6,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0032.wav,FC01,LEFT
FC01_1_0033_wav_arrayMic,6.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0033.wav,FC01,GIVING THOSE WHO OBSERVE HIM A PRONOUNCED FEELING OF THE UTMOST RESPECT
FC01_1_0034_wav_arrayMic,3.15,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0034.wav,FC01,TIP
FC01_1_0035_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0035.wav,FC01,TROUBLE
FC01_1_0036_wav_arrayMic,5.25,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0036.wav,FC01,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
FC01_1_0037_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0037.wav,FC01,WARM
FC01_1_0038_wav_arrayMic,3.6,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0038.wav,FC01,FEET
FC01_1_0039_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0039.wav,FC01,LEAD 
FC01_1_0040_wav_arrayMic,5.7,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0040.wav,FC01,WELL HE IS NEARLY NINETY-THREE YEARS OLD
FC01_1_0041_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0041.wav,FC01,WEED
FC01_1_0042_wav_arrayMic,3.75,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0042.wav,FC01,BUG
FC01_1_0043_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0043.wav,FC01,READ 
FC01_1_0044_wav_arrayMic,4.5,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0044.wav,FC01,STUBBLE
FC01_1_0045_wav_arrayMic,3.6,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0045.wav,FC01,SWORE
FC01_1_0046_wav_arrayMic,6.75,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0046.wav,FC01,WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS
FC01_1_0047_wav_arrayMic,5.55,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0047.wav,FC01,A LONG FLOWING BEARD CLINGS TO HIS CHIN
FC01_1_0048_wav_arrayMic,3.9,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0048.wav,FC01,FEED
FC01_1_0049_wav_arrayMic,3.3,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0049.wav,FC01,AIR
FC01_1_0050_wav_arrayMic,3.45,/home/zzho680/Speech_Data/TORGO/Control/FC01/Session1/wav_arrayMic/0050.wav,FC01,JAGGED
